,country,count,id
0,Brazil,88.0,76
1,Mexico,154.0,484
2,Singapore,39.0,702
3,United States,3297.0,840
4,Turkey,108.0,792
5,Egypt,110.0,818
6,India,990.0,356
7,Poland,36.0,616
8,Thailand,65.0,764
9,Nigeria,76.0,566
10,Norway,29.0,578
11,Iceland,9.0,352
12,United Kingdom,723.0,826
13,Japan,287.0,392
14,South Korea,212.0,410
15,Italy,90.0,380
16,Canada,412.0,124
17,Indonesia,80.0,360
18,Romania,12.0,642
19,Spain,215.0,724
20,South Africa,54.0,710
21,France,349.0,250
22,Portugal,4.0,620
23,Hong Kong,102.0,344
24,China,147.0,156
25,Germany,204.0,276
26,Argentina,82.0,32
27,Serbia,7.0,688
28,Denmark,44.0,208
29,Kenya,5.0,404
30,New Zealand,28.0,554
31,Pakistan,24.0,586
32,Australia,144.0,36
33,Taiwan,85.0,158
34,Netherlands,45.0,528
35,Philippines,78.0,608
36,United Arab Emirates,34.0,784
37,Iran,4.0,364
38,Belgium,85.0,56
39,Israel,26.0,376
40,Uruguay,14.0,858
41,Bulgaria,9.0,100
42,Chile,26.0,152
43,Russia,27.0,643
44,Mauritius,1.0,480
45,Lebanon,26.0,422
46,Colombia,45.0,170
47,Algeria,2.0,12
49,Sweden,39.0,752
50,Malaysia,26.0,458
51,Ireland,40.0,372
52,Luxembourg,11.0,442
53,Finland,11.0,246
54,Austria,11.0,40
55,Peru,10.0,604
56,Senegal,3.0,686
57,Switzerland,17.0,756
58,Ghana,4.0,288
59,Saudi Arabia,10.0,682
60,Armenia,1.0,51
61,Jordan,8.0,400
62,Mongolia,1.0,496
63,Namibia,2.0,516
64,Qatar,7.0,634
65,Vietnam,5.0,704
66,Syria,1.0,760
67,Kuwait,7.0,414
68,Malta,3.0,470
69,Czech Republic,20.0,203
70,Bahamas,1.0,44
71,Sri Lanka,1.0,144
72,Cayman Islands,2.0,136
73,Bangladesh,3.0,50
74,Zimbabwe,3.0,716
75,Hungary,9.0,348
76,Latvia,1.0,428
77,Liechtenstein,1.0,438
78,Venezuela,3.0,862
79,Morocco,6.0,504
80,Cambodia,5.0,116
81,Albania,1.0,8
82,Cuba,1.0,192
83,Nicaragua,1.0,558
84,Greece,10.0,300
85,Croatia,4.0,191
86,Guatemala,2.0,320
88,Slovenia,3.0,705
89,Dominican Republic,1.0,214
90,Nepal,2.0,524
91,Samoa,1.0,882
92,Azerbaijan,1.0,31
93,Bermuda,1.0,60
94,Ecuador,1.0,218
95,Georgia,2.0,268
96,Botswana,1.0,72
97,Puerto Rico,1.0,630
98,Iraq,2.0,368
99,Vatican City,1.0,336
100,Angola,1.0,24
101,Ukraine,3.0,804
102,Jamaica,1.0,388
103,Belarus,1.0,112
104,Cyprus,1.0,196
105,Kazakhstan,1.0,398
106,Malawi,1.0,454
107,Slovakia,1.0,703
108,Lithuania,1.0,440
109,Afghanistan,1.0,4
110,Paraguay,1.0,600
111,Somalia,1.0,706
112,Sudan,1.0,729
113,Panama,1.0,591
114,Uganda,1.0,800
116,Montenegro,1.0,499
