Year,IMDB_Rating
1925,
1942,6.1
1943,
1944,6.25
1945,6.25
1946,
1947,6.6
1954,7.5
1955,6.8999999999999995
1956,7.199999999999999
1958,7.433333333333334
1959,6.8
1960,6.9
1962,7.333333333333333
1963,7.8
1964,7.5
1965,7.65
1966,6.7
1967,7.633333333333333
1968,7.675
1969,7.25
1970,7.6
1971,7.32
1972,8.299999999999999
1973,6.7625
1974,7.125
1975,7.12
1976,7.1
1977,6.5249999999999995
1978,5.666666666666667
1979,7.380000000000001
1980,7.2
1981,7.050000000000001
1982,7.090000000000001
1983,7.0874999999999995
1984,6.6000000000000005
1985,6.8500000000000005
1986,7.0375000000000005
1987,6.866666666666666
1988,6.753846153846154
1989,6.824999999999999
1990,6.983333333333332
1991,6.4125
1992,6.908333333333332
1993,6.871428571428572
1994,6.6000000000000005
1995,6.507142857142857
1996,6.4
1997,6.574999999999999
1998,6.765217391304346
1999,6.604347826086958
2000,6.064285714285714
2001,6.555555555555556
2002,6.648484848484848
2003,6.294871794871796
2004,6.6999999999999975
2005,6.372549019607842
2006,6.598412698412698
2007,6.452459016393441
2008,6.3829545454545435
2009,6.548484848484851
2010,6.382258064516131
2011,6.423364485981308
2012,6.354054054054059
2013,6.500000000000001
2014,6.346491228070176
2015,6.508571428571426
2016,6.318398637137993
2017,6.293568147013787
2018,6.295664739884391
2019,6.292066115702479
2020,6.418806509945753
2021,6.7749999999999995
