,type,release_year,show_id,title,director,cast,country,date_added,rating,duration,listed_in,description,type_year
0,Movie,1942,2,2,2,1,2,2,2,2,2,2,"('Movie', 1942)"
1,Movie,1943,3,3,3,0,3,3,3,3,3,3,"('Movie', 1943)"
2,Movie,1944,3,3,3,1,3,3,3,3,3,3,"('Movie', 1944)"
3,Movie,1945,3,3,3,1,3,3,3,3,3,3,"('Movie', 1945)"
4,Movie,1946,1,1,1,1,1,1,1,1,1,1,"('Movie', 1946)"
5,Movie,1947,1,1,1,1,1,1,1,1,1,1,"('Movie', 1947)"
6,Movie,1954,2,2,2,2,2,2,2,2,2,2,"('Movie', 1954)"
7,Movie,1955,3,3,3,3,3,3,3,3,3,3,"('Movie', 1955)"
8,Movie,1956,2,2,2,2,2,2,2,2,2,2,"('Movie', 1956)"
9,Movie,1958,3,3,3,3,3,3,3,3,3,3,"('Movie', 1958)"
10,Movie,1959,1,1,1,1,1,1,1,1,1,1,"('Movie', 1959)"
11,Movie,1960,4,4,4,4,3,4,4,4,4,4,"('Movie', 1960)"
12,Movie,1962,3,3,3,3,3,3,3,3,3,3,"('Movie', 1962)"
13,Movie,1963,1,1,1,1,1,1,1,1,1,1,"('Movie', 1963)"
14,Movie,1964,1,1,1,1,1,1,1,1,1,1,"('Movie', 1964)"
15,Movie,1965,2,2,2,2,2,2,2,2,2,2,"('Movie', 1965)"
16,Movie,1966,1,1,1,1,1,1,1,1,1,1,"('Movie', 1966)"
17,Movie,1967,4,4,4,4,4,4,4,4,4,4,"('Movie', 1967)"
18,Movie,1968,4,4,4,3,4,4,4,4,4,4,"('Movie', 1968)"
19,Movie,1969,2,2,2,2,2,2,2,2,2,2,"('Movie', 1969)"
20,Movie,1970,2,2,2,2,2,2,2,2,2,2,"('Movie', 1970)"
21,Movie,1971,5,5,5,5,5,5,5,5,5,5,"('Movie', 1971)"
22,Movie,1972,3,3,3,3,3,3,3,3,3,3,"('Movie', 1972)"
23,Movie,1973,10,10,10,10,10,10,10,10,10,10,"('Movie', 1973)"
24,Movie,1974,6,6,6,6,6,6,6,6,6,6,"('Movie', 1974)"
25,Movie,1975,6,6,6,6,6,6,6,6,6,6,"('Movie', 1975)"
26,Movie,1976,9,9,8,9,9,9,9,9,9,9,"('Movie', 1976)"
27,Movie,1977,6,6,6,5,6,6,6,6,6,6,"('Movie', 1977)"
28,Movie,1978,6,6,6,6,6,6,6,6,6,6,"('Movie', 1978)"
29,Movie,1979,10,10,9,9,10,10,10,10,10,10,"('Movie', 1979)"
30,Movie,1980,9,9,9,9,9,9,9,9,9,9,"('Movie', 1980)"
31,Movie,1981,8,8,8,8,8,8,8,8,8,8,"('Movie', 1981)"
32,Movie,1982,15,15,15,15,14,15,15,15,15,15,"('Movie', 1982)"
33,Movie,1983,9,9,8,9,9,9,9,9,9,9,"('Movie', 1983)"
34,Movie,1984,9,9,9,9,8,9,9,9,9,9,"('Movie', 1984)"
35,Movie,1985,8,8,8,8,7,8,8,8,8,8,"('Movie', 1985)"
36,Movie,1986,8,8,8,8,8,8,8,8,8,8,"('Movie', 1986)"
37,Movie,1987,7,7,7,7,7,7,7,7,7,7,"('Movie', 1987)"
38,Movie,1988,14,14,14,14,14,14,14,14,14,14,"('Movie', 1988)"
39,Movie,1989,12,12,12,12,12,12,12,12,12,12,"('Movie', 1989)"
40,Movie,1990,17,17,17,16,15,17,17,17,17,17,"('Movie', 1990)"
41,Movie,1991,16,16,15,16,15,16,16,16,16,16,"('Movie', 1991)"
42,Movie,1992,16,16,16,16,16,16,16,16,16,16,"('Movie', 1992)"
43,Movie,1993,18,18,17,17,17,18,18,18,18,18,"('Movie', 1993)"
44,Movie,1994,15,15,15,14,15,15,15,15,15,15,"('Movie', 1994)"
45,Movie,1995,17,17,17,17,16,17,17,17,17,17,"('Movie', 1995)"
46,Movie,1996,16,16,16,16,15,16,16,16,16,16,"('Movie', 1996)"
47,Movie,1997,26,26,26,26,26,26,26,26,26,26,"('Movie', 1997)"
48,Movie,1998,27,27,26,27,27,27,27,27,27,27,"('Movie', 1998)"
49,Movie,1999,26,26,26,26,26,26,26,26,26,26,"('Movie', 1999)"
50,Movie,2000,30,30,30,30,30,30,30,30,30,30,"('Movie', 2000)"
51,Movie,2001,32,32,32,32,31,32,32,32,32,32,"('Movie', 2001)"
52,Movie,2002,39,39,39,39,39,39,39,39,39,39,"('Movie', 2002)"
53,Movie,2003,40,40,40,40,39,40,40,40,40,40,"('Movie', 2003)"
54,Movie,2004,50,50,50,50,50,50,50,50,50,50,"('Movie', 2004)"
55,Movie,2005,61,61,60,60,60,61,61,61,61,61,"('Movie', 2005)"
56,Movie,2006,72,72,72,72,72,72,72,72,72,72,"('Movie', 2006)"
57,Movie,2007,72,72,72,69,72,72,72,72,72,72,"('Movie', 2007)"
58,Movie,2008,102,102,100,102,101,102,102,102,102,102,"('Movie', 2008)"
59,Movie,2009,103,103,102,103,101,103,103,103,103,103,"('Movie', 2009)"
60,Movie,2010,136,136,132,129,131,136,135,136,136,136,"('Movie', 2010)"
61,Movie,2011,127,127,122,124,125,127,127,127,127,127,"('Movie', 2011)"
62,Movie,2012,158,158,154,153,155,158,158,158,158,158,"('Movie', 2012)"
63,Movie,2013,202,202,200,186,197,202,202,202,202,202,"('Movie', 2013)"
64,Movie,2014,244,244,239,230,234,244,244,244,244,244,"('Movie', 2014)"
65,Movie,2015,382,382,372,348,365,382,380,382,382,382,"('Movie', 2015)"
66,Movie,2016,642,642,625,572,623,642,642,642,642,642,"('Movie', 2016)"
67,Movie,2017,744,744,725,654,717,744,742,744,744,744,"('Movie', 2017)"
68,Movie,2018,734,734,704,666,688,734,734,734,734,734,"('Movie', 2018)"
69,Movie,2019,582,582,548,521,531,582,582,582,582,582,"('Movie', 2019)"
70,Movie,2020,411,411,391,374,388,411,411,411,411,411,"('Movie', 2020)"
71,Movie,2021,12,12,9,9,6,12,12,12,12,12,"('Movie', 2021)"
72,TV Show,1925,1,1,0,0,0,1,1,1,1,1,"('TV Show', 1925)"
73,TV Show,1946,1,1,1,0,1,1,1,1,1,1,"('TV Show', 1946)"
74,TV Show,1963,1,1,0,1,1,1,1,1,1,1,"('TV Show', 1963)"
75,TV Show,1967,1,1,0,1,1,1,1,1,1,1,"('TV Show', 1967)"
76,TV Show,1968,1,1,0,1,1,1,1,1,1,1,"('TV Show', 1968)"
77,TV Show,1972,1,1,0,1,1,1,1,1,1,1,"('TV Show', 1972)"
78,TV Show,1974,1,1,0,1,1,1,1,1,1,1,"('TV Show', 1974)"
79,TV Show,1977,1,1,0,1,1,1,1,1,1,1,"('TV Show', 1977)"
80,TV Show,1979,1,1,0,1,1,1,1,1,1,1,"('TV Show', 1979)"
